"node","woman","man","girl","boy","mother","father","female","male","feminine","masculine"
"a",1.44898893372367,3.94590682714401,1.25999645084361,1.07885149718137,0.56248986467505,0.432126397566209,1.34966584915014,1.56656673588938,1.16062339695942,1.11049474385031
"additionally",1.13035085048614,1.48428636165796,1.00853897279972,0.39249156898811,0.323040249675341,0.336832245465759,2.1161333973487,0.54645277125058,1.55624527753167,0.418683320852837
"also",1.82330109766834,2.4555575542738,1.58962726747764,0.707257683080512,0.538541306332667,0.502176587929234,2.95453237459065,0.978751851874989,2.45031037278017,0.787613756317395
"an",0.982087656750397,2.88356048554004,0.829715368384486,0.825059142256585,0.413604041388957,0.322451479105514,0.644541047923797,1.13770190337114,0.545818974195411,0.769458699489631
"equally",0.105292867854587,0.209418808018586,0.108369129240178,0.0601637395233269,0.0520937735879343,0.0597541693958897,0.178242968541923,0.0821798372529977,0.0797286275088362,0.05556286265516
"one",2.2613717192751,7.13631554544809,1.96646201078447,2.48638086490273,1.24231508804828,1.10990983211034,1.69839050934538,3.23218309900273,1.19482504955314,2.06722119920395
"a few",0.840288786698398,2.30469340038029,0.722890037555401,0.741581826709185,0.626277080264634,0.515558418544605,0.658416166769831,0.968805537192899,0.803418910241262,0.64693654559979
"couple",5.47752399009111,6.69173491826632,4.44623183377315,2.47167921848347,5.60859251955716,5.70319018150999,5.09663538521027,2.67338930645768,2.46371481591506,1.70344287903608
"several",0.622549356493424,1.59476883688498,0.575073637594835,0.733740472636867,0.572522922072966,0.555959149437647,0.596156900789923,0.811739430826148,0.514483648799043,0.636733945099996
"some",1.52747437453698,5.88856672463719,1.24327444112502,1.61241311835983,0.742803097067266,0.510583424932243,1.09757241964887,2.68989352892251,1.33202785293402,1.8838303033021
"a little",1.57077521966721,1.59878532899646,2.57077916086732,2.50912220649973,1.3945562528817,0.838747704799189,1.24370986111268,1.12740023563671,4.3679060182578,0.687880533033298
"small",18.2227542722004,15.3512818566573,28.9792157194473,35.6889226430579,21.7845061367337,15.6539655619571,15.9364234640947,14.3109556804286,43.7168590736922,9.34784394831741
"tiny",6.07449324246123,5.11593388888783,10.5144428073417,9.84835643436405,5.66705828060597,3.57595587826363,4.90666374828971,4.27701849887285,16.4852688226948,2.49633706887862
"a lot",0.229232058670951,0.499441630126848,0.237668964854929,0.394576559136375,0.233241253190651,0.215265108681085,0.229306316013446,0.351476017176399,0.231093863488522,0.396886106354998
"abundance",0.770663662470064,1.51546145954542,0.704721862650393,1.01479449192166,0.826848967244508,0.885293389309725,0.787181040950012,1.32372098765601,0.784975581274503,1.33162764920869
"many",1.442593766836,3.28982819267719,1.42835015115123,1.90110217060769,1.35168533747148,1.327719071708,1.42015257042827,2.14829986533129,1.0979796650747,2.1009987143628
"much",0.372469515614818,0.667675083418742,0.347528318001767,0.493656708629455,0.337250867551359,0.307444043482398,0.391674645404066,0.512041608170866,0.411250410390955,0.854822447613055
"plenty",0.441909119012933,0.735272081246619,0.394057759488904,0.548609195602793,0.485775084752783,0.448269560677847,0.375049120009906,0.666496526421522,0.542226323449559,0.728994315061031
"aardvark",0.584809843284748,0.968087276734413,0.628474588675964,0.846791615260292,0.580508185773157,0.56842598014741,0.683514515495429,1.39402617727865,0.609735907470278,1.02848091779914
"animal",21.8862655962295,32.8293521700549,25.4375343866484,34.2448730740713,23.7263714602773,20.5232774793339,27.0705117127639,46.2312741411208,21.3691565751442,40.2321117166045
"anteater",0.630717499607779,0.943509813324919,0.682940999076806,0.802234668827733,0.608974544614759,0.574654507512003,0.669594788655816,1.09159161503338,0.633496900310169,1.0318629257758
"mammal",3.53311992811147,5.42198637409406,3.83285851630628,4.6614541125712,3.66992636167215,3.44617785672692,4.1744919335303,6.90777392944993,4.00559855475497,6.11235108379023
"ab",0.946404689487192,3.1892304789956,0.87792077937516,1.65639291044519,0.664150725923939,0.53716566309942,1.53726396278849,2.81893234962249,0.772155480017602,3.41944807897987
"core",1.64140867094828,3.36595326319022,1.44872889041414,1.67497263642668,1.47521661119462,1.48997867927278,2.31256320377126,2.81573174523224,1.23743039078973,2.21230739075531
"exercise",5.67435024886683,11.783014323864,5.7298782223449,8.85509957619609,4.64147599716468,3.62976830247774,5.97097731754392,9.48184165420413,6.53095025168973,15.5662895451445
"muscle",5.3161273965546,15.0177499282112,5.16001525211734,8.4922441970868,3.03357472585009,2.39404266341847,8.77879083136924,15.139924487126,3.7730163534625,18.2324989598681
"stomach",2.6896055446645,3.01359146743402,2.42383011406971,2.54829661424188,1.82861930097187,1.25528860413186,4.49208056628687,5.31042871825005,2.17877088051943,3.03743917835983
"abacus",0.318680510012472,0.511254115744237,0.341086749325738,0.567410056545856,0.288051139803498,0.260384991906981,0.339124875354875,0.394521798909066,0.276266359556154,0.278462044441469
