"node","woman","man","girl","boy","mother","father","female","male","feminine","masculine"
"pinball",0.69749365081833,1.08470307326943,2.37861528203087,5.01866921916019,0.693296435899525,0.942131449666394,0.820837885793824,0.949071155724511,0.708608127035579,0.719603942951179
"pincushion",0.0096203550303286,0.00662804473296533,0.01119199873519,0.00748890749220826,0.00289447597779764,0.00315081666965366,0.0108731104007976,0.0096256488222607,0.00803768671310299,0.00674276001585776
"pinhole",0.0336712426061501,0.0231981565653786,0.039171995573165,0.0262111762227289,0.0101306659222917,0.0110278583437878,0.0380558864027914,0.0336897708779124,0.0281319034958605,0.0235996600555022
"pinch",0.612891479258222,0.530869867934774,0.835412989060015,0.557000503425994,0.56246422360039,0.454405647119307,0.6562332104906,0.597761461685419,0.661341882238808,0.528021972999642
"pine tree",0.00459655080902783,0.00413936725586003,0.00586302965835351,0.00542156941762015,0.00370479672545984,0.00291463226607797,0.00413745284761185,0.00435384634249126,0.00676342563027493,0.00337486756339241
"ping-pong",0.00282426479258157,0.00382020880887386,0.00367362423056794,0.00446866043567165,0.00265570485479085,0.00368699575903517,0.00256815403371299,0.00282815875018617,0.00182387433960451,0.00251395637342462
"pong",0.0310669127183973,0.0420222968976124,0.0404098665362473,0.0491552647923882,0.0292127534026994,0.0405569533493868,0.0282496943708429,0.0311097462520478,0.0200626177356496,0.0276535201076709
"router",0.0169245274146123,0.0295214960106947,0.0252059258343961,0.0354484022332808,0.0202290682289824,0.0281067147296255,0.0157987239299886,0.0210403152709214,0.010358226906871,0.0164056333770461
"pinpoint",0.637990908478276,0.782845385457299,0.50558901804632,0.605071994978549,0.495140528831677,0.636620760112828,0.535095042460179,0.64021051921544,0.486550429676466,0.627275963078184
"spotlight",0.303691917306571,0.178524587409049,0.204762276078819,0.188528613416926,0.0809454695287081,0.162606363438418,0.21011599790143,0.120611121523643,0.4160356504462,0.145564214191622
"pint",0.708035751661798,1.34291581922789,1.22645758520921,1.68199249965534,0.619713145609721,2.17807887239469,0.732415659917103,0.999280515698854,0.717507173790305,0.85144859686803
"guinness",0.012152481745283,0.0243443819849569,0.0135359263978418,0.0211071939341138,0.00810493046243688,0.0389761622431223,0.0110253162492294,0.0187283343554467,0.0101198917522479,0.0232124139262505
"pioneering",0.0332431623840424,0.0359967088662883,0.0197366621885136,0.028640242931529,0.0162187313486802,0.0203285480475633,0.0269816456461219,0.0312922884742939,0.0170750232616689,0.0344531763526732
"trailblazer",0.0250527112251023,0.0321031017483368,0.0192895295265648,0.039765837666021,0.0146263762609123,0.0169188498963667,0.0223584548174708,0.0229814071322962,0.0104699634879605,0.0311310482905394
"god-fearing",0.00632073656387082,0.0132181512210491,0.00502368275557006,0.00588593728398171,0.011909022562267,0.0391256070858106,0.00462638856690489,0.00504702056385122,0.00837052972013062,0.0060096706009735
"valve",0.568604400278577,0.46803368729202,0.414922389850024,0.421654244879462,0.357570618418877,0.344027478659948,0.5275302819471,0.657944911971328,0.506108824195112,0.862311359443205
"scurvy",0.00672769847531607,0.00990180728491067,0.00619786583582575,0.00858562486917248,0.00573119317239772,0.00726278483088565,0.00515472187372025,0.00524517628818986,0.0042782300990085,0.00473735425150477
"piranha",0.541177425420147,0.535342496244578,0.641358728837108,0.640230584607998,0.471002937582908,0.409412637004935,0.68137777839298,0.542277344972651,0.47785954894564,0.563032252807932
"swordfish",0.620461199519772,0.566923011455222,0.576982765592707,0.629077743256385,0.340096236704981,0.382329397319449,0.539188752563817,0.459212488410263,0.551570268737085,0.42238653500094
"urination",0.00279994121784145,0.00193603449694845,0.00255091820634352,0.00161763467973277,0.00319817190492515,0.00135999230758186,0.00469826164384356,0.00355437384677876,0.00502529851245941,0.0020994486625353
"pistachio",0.515280686208899,0.49630909414249,0.609494960483508,0.528333458354773,0.5183136975576,0.317117008778024,0.557641086195144,0.810055969896587,0.510733818475589,0.470763653859717
"pitiful",0.493691304032119,0.850198070980946,0.724494906897864,0.559859595070394,0.835772214925475,0.686328398181122,0.453100077965203,0.431528493673848,0.405825014656136,0.405777368870639
"pituitary",5.48196738845993,2.25800860207374,5.68968700023166,4.85443743083894,2.24191088546447,0.881357023885372,22.7006229649877,19.3648634331942,2.69613965055017,13.5087431386699
"hypothalamus",0.10170642820459,0.0370782453508513,0.105644809099623,0.0893667953161614,0.0331762940111205,0.0123852923638426,0.466582543962354,0.385071919413768,0.0446020590860081,0.250556300275925
"sympathy",1.47356191881064,1.30539895500953,1.11567897106793,1.04179082757044,5.07531312651582,3.70235100798238,1.00236711151666,0.890190244611582,1.73372164767787,0.844315110000802
"data point",0.00492846678683882,0.00301626068237432,0.00340049311774331,0.00389304141657468,0.00246769174642712,0.00265560843340316,0.00317295039547333,0.00345096174918294,0.00336819386815793,0.00384762708242019
"turnaround",0.0030847386001723,0.00216284016399697,0.00227272231935818,0.00319692206497148,0.00224079660586839,0.00213461025933848,0.00220577876449043,0.00196000662072803,0.001703243195332,0.00204174336566255
"pixie",1.47298389784555,0.80714813175936,2.96369259327,1.36350755465758,0.920476077194015,0.631417199924912,1.5843311512014,0.585233570459141,2.14672699399739,0.512391515968917
"topping",0.434055748835876,0.403223006972596,0.521677147816952,0.403234562982785,0.87924871670035,0.416532439835409,0.416510364625658,0.420437793814897,0.367004376546896,0.302371756146366
"placenta",2.55617442635778,1.18884492040557,2.4155546503558,1.35118155274006,16.3811911181654,2.58951785546639,2.51258757710901,1.63845956477146,1.33606302903398,1.02624681609977
"afterbirth",0.0718538808773718,0.0291256683863689,0.0674551416439922,0.032696674045703,0.56348946890192,0.0734836105708959,0.0644044578769839,0.038962563828308,0.0325703629666397,0.0222064775481612
"amniotic",0.195031962381438,0.0790553856201441,0.183092527319407,0.0887481152669082,1.52947141559093,0.199455514406718,0.174812099951814,0.105755530391122,0.0884052709094507,0.0602747247735805
"amniotic fluid",0.112913241378727,0.0457689074642939,0.106000936869131,0.0513804877861047,0.885483451131589,0.115474245182836,0.10120700523526,0.0612268860159126,0.0511819989475767,0.0348958932899677
"umbilical cord",0.183515266723385,0.0675055330458977,0.115897021048396,0.0576922086372307,1.00799881326982,0.127919413870437,0.144758779484125,0.085006239806584,0.0818217641726412,0.0541095567913326
"placid",0.680839640622577,0.468737363787388,0.643702507540382,0.552610634897785,0.737891734910898,0.506493017794376,0.544549643740767,0.338052537930187,1.43224935906833,0.353191287790917
